jlap1_34	jlap1_35	cur1_34	cur1_35
0.277705	0.159718	0.0110928	0.0156606
0.281452	0.163725	0.0146953	0.0133039
0.280227	0.145366	0.01162	0.0142689
0.279644	0.162668	0.0114829	0.0132429
0.280675	0.152429	0.0100587	0.0125814
0.276878	0.158197	0.0139016	0.0151979
0.285948	0.154499	0.0109853	0.0163065
0.285509	0.162638	0.013286	0.0148027
0.27539	0.151988	0.0121715	0.0166121
0.278369	0.153198	0.0146534	0.0153716
0.288641	0.155417	0.011429	0.016483
0.272248	0.162864	0.0114499	0.0156373
0.281799	0.161215	0.012804	0.0149368
0.282322	0.151363	0.00978631	0.0158728
0.277486	0.162397	0.0119266	0.0139843
0.278988	0.152528	0.0101029	0.0129232
0.280626	0.148575	0.0122488	0.0154215
0.283591	0.161775	0.0122178	0.0134
0.289514	0.156539	0.0112726	0.0127305
0.278266	0.162379	0.011577	0.0139075
0.29169	0.152317	0.0108694	0.0134682
0.279984	0.156599	0.0119124	0.0147249
0.290031	0.155906	0.0124584	0.014232
0.288646	0.167245	0.0128338	0.0133308
0.276348	0.161721	0.013284	0.0131039
0.282382	0.166721	0.0127775	0.0160575
0.281523	0.155622	0.0117465	0.0164532
0.282239	0.160748	0.0112465	0.0158131
0.283997	0.165994	0.013376	0.0128702
0.287632	0.164415	0.0119777	0.0145698
0.282124	0.164315	0.0139178	0.0153094
0.283429	0.155707	0.0112999	0.0140808
0.277178	0.166132	0.0137661	0.0130095
0.276733	0.168086	0.0132726	0.0164668
0.286533	0.156523	0.0123779	0.0146139
0.286791	0.158151	0.0128873	0.0141565
0.277245	0.158402	0.0125431	0.0149466
0.294806	0.162075	0.0127161	0.0124928
0.285558	0.149808	0.0106921	0.0140093
0.276364	0.157817	0.0128132	0.0149869
0.280599	0.164671	0.0127801	0.0138698
0.269149	0.157963	0.0104672	0.0148815
0.277581	0.157224	0.0118216	0.0140244
0.283858	0.15926	0.0111729	0.0140803
0.280681	0.166109	0.012473	0.0154982
0.271596	0.155599	0.0117806	0.0129568
0.286562	0.155575	0.0117546	0.0106963
0.286024	0.156426	0.0117186	0.0153432
0.272538	0.151068	0.0117509	0.0151637
0.296447	0.168187	0.0126067	0.0124387
0.297344	0.161913	0.0115313	0.0112051
0.274268	0.159001	0.0113577	0.0152154
0.286507	0.163513	0.0122448	0.0136266
0.276322	0.155566	0.0132596	0.0135613
0.285939	0.160857	0.0114604	0.0153075
0.286867	0.163803	0.013486	0.0147661
0.27045	0.15718	0.011624	0.0165701
0.279769	0.163912	0.0121263	0.0150336
0.285921	0.165803	0.0127721	0.0123134
0.277599	0.148067	0.0128702	0.0138472
0.283188	0.162302	0.0134472	0.0153204
0.288324	0.155866	0.0123224	0.014655
0.282191	0.155273	0.0108499	0.0137397
0.280933	0.166935	0.0138503	0.0146017
0.286623	0.159045	0.0111662	0.0137162
0.288818	0.159867	0.0134505	0.0115286
0.278479	0.162997	0.0134491	0.0147416
0.276826	0.155093	0.013345	0.0136227
0.283518	0.1597	0.0118578	0.0136394
0.286012	0.157116	0.0133464	0.0144126
0.2858	0.152391	0.0124964	0.0143317
0.282199	0.159956	0.011705	0.0153031
0.275021	0.161334	0.0111504	0.014147
0.271783	0.153357	0.0130587	0.0132613
0.283701	0.154614	0.0114998	0.0157033
0.276553	0.154916	0.0113604	0.0123451
0.279391	0.160284	0.0117466	0.0125826
0.271705	0.161318	0.0109289	0.0154137
0.283891	0.153524	0.0118695	0.0131069
0.275274	0.157359	0.0125855	0.0126854
0.275687	0.150191	0.00936193	0.0147736
0.283518	0.155343	0.0121524	0.0116472
0.285647	0.169446	0.0111657	0.0130962
0.276405	0.159554	0.012903	0.0150125
0.283349	0.164108	0.0133546	0.0122492
0.283908	0.162949	0.0125993	0.0140082
0.272924	0.15595	0.0128802	0.0131366
0.282766	0.158651	0.0131984	0.0135265
0.27676	0.165679	0.0123034	0.0152189
0.28178	0.156134	0.0133008	0.0131211
0.276666	0.151706	0.011829	0.0145889
0.286856	0.157292	0.0102383	0.014708
0.2702	0.164167	0.0121572	0.0131883
0.283429	0.166957	0.0110776	0.0161266
0.286219	0.162599	0.0127259	0.0145471
0.279072	0.166606	0.0117221	0.0144917
0.283652	0.160547	0.0113582	0.0121813
0.281572	0.153938	0.012944	0.0122895
0.278988	0.16103	0.0137591	0.0124188
0.290194	0.162263	0.0115623	0.0135134
0.283853	0.15738	0.014525	0.0142278
0.278904	0.159559	0.0119537	0.0122545
0.285882	0.157365	0.0137067	0.0153578
0.287417	0.160564	0.0141465	0.0122766
0.278258	0.158435	0.0121534	0.0120647
0.275987	0.155298	0.0133789	0.0154522
0.277431	0.160192	0.0120512	0.014346
