jlap1_35	jlap1_36	jlap1_42	jlap1_44	cur1_35	cur1_36	cur1_42	cur1_44
0.0187184	0.00530892	0.0855582	0.780323	-0.168238	-0.169517	-0.170684	-0.164685
0.0238013	0.0289677	0.0779846	0.785577	-0.169357	-0.168553	-0.170089	-0.168505
0.018673	0.0145252	0.0754454	0.801919	-0.166748	-0.169486	-0.170842	-0.168376
0.0162347	0.0192715	0.0744985	0.788247	-0.169872	-0.168209	-0.167481	-0.166579
0.0213341	0.0167383	0.0841069	0.802577	-0.169009	-0.167941	-0.168967	-0.166866
0.0333965	0.0152289	0.0812451	0.822341	-0.168783	-0.16955	-0.170098	-0.168238
0.0227576	0.0158648	0.0894538	0.794859	-0.169679	-0.168162	-0.169268	-0.165043
0.0280453	0.0219288	0.0782729	0.813852	-0.168632	-0.167537	-0.16908	-0.166032
0.0209999	0.0304955	0.0939925	0.815931	-0.16867	-0.166252	-0.169443	-0.166717
0.0243351	0.0403371	0.0890012	0.82708	-0.17019	-0.169713	-0.166953	-0.166595
0.0269069	0.0153737	0.0851704	0.835657	-0.171005	-0.167503	-0.16971	-0.16713
0.0249798	0.0257022	0.086164	0.821852	-0.169204	-0.168106	-0.17193	-0.166244
0.0263146	0.0231989	0.083437	0.811272	-0.16596	-0.167671	-0.168284	-0.16787
0.0174166	0.0239473	0.0918964	0.819981	-0.170147	-0.168788	-0.16968	-0.168112
0.0186406	0.0279105	0.0954043	0.815498	-0.169409	-0.166793	-0.170602	-0.165826
0.02446	0.017831	0.0745087	0.812713	-0.170214	-0.168193	-0.16927	-0.165595
0.0201859	0.00414268	0.0808656	0.834984	-0.169229	-0.16696	-0.169929	-0.167268
0.0207582	0.0264153	0.0826204	0.837116	-0.169795	-0.167054	-0.16803	-0.167652
0.00278935	0.00797893	0.0912703	0.839726	-0.169505	-0.167871	-0.170417	-0.165988
0.0237177	0.0177725	0.104421	0.838901	-0.167854	-0.163298	-0.168043	-0.164646
0.0180394	0.00859578	0.0990804	0.84781	-0.167189	-0.16892	-0.169563	-0.16439
0.0205028	0.0223827	0.104078	0.844026	-0.168617	-0.16924	-0.168411	-0.167879
0.0196432	0.0123564	0.100086	0.843425	-0.170387	-0.164782	-0.167895	-0.167779
0.00936234	0.0212513	0.0929008	0.834334	-0.17026	-0.165434	-0.169894	-0.16407
0.0217697	0.01463	0.094696	0.857645	-0.168715	-0.165679	-0.170508	-0.168606
0.0224002	0.0233511	0.103383	0.854293	-0.171274	-0.166305	-0.16875	-0.16775
0.0173555	0.0220404	0.113147	0.853715	-0.16966	-0.16677	-0.168603	-0.16511
0.0177159	0.0156415	0.101652	0.857513	-0.171774	-0.165991	-0.169955	-0.16654
0.0244179	0.0368943	0.109927	0.856807	-0.169042	-0.167384	-0.170864	-0.167122
0.0243369	0.0281487	0.110241	0.840515	-0.170299	-0.168577	-0.170665	-0.167366
0.0170385	0.0222067	0.116269	0.8442	-0.170639	-0.16626	-0.171144	-0.166983
0.0214942	0.0171526	0.109511	0.849121	-0.171318	-0.169868	-0.169301	-0.167561
0.0208411	0.0354955	0.10741	0.848343	-0.16787	-0.169197	-0.172841	-0.165878
0.0293064	0.0276439	0.109542	0.866647	-0.166823	-0.167408	-0.170558	-0.164479
0.021332	0.0246262	0.108747	0.862886	-0.168188	-0.168101	-0.168418	-0.164801
0.0211944	0.0272325	0.107116	0.86971	-0.168084	-0.168315	-0.168052	-0.169032
0.0278629	0.01826	0.10081	0.871387	-0.168659	-0.16612	-0.166804	-0.16556
0.0145391	0.0231426	0.10658	0.871395	-0.16823	-0.167559	-0.170397	-0.168058
0.0146673	0.0188248	0.102898	0.8682	-0.16888	-0.168125	-0.168742	-0.167645
0.0320543	0.0187009	0.106727	0.882089	-0.168515	-0.163479	-0.171491	-0.166717
0.0241904	0.0278106	0.108749	0.866209	-0.168527	-0.16631	-0.168862	-0.166892
0.0233866	0.010348	0.111316	0.876049	-0.166605	-0.166504	-0.169495	-0.166536
0.0127844	0.0131368	0.120981	0.881563	-0.168244	-0.165946	-0.1711	-0.167952
0.0189535	0.0109444	0.120208	0.891792	-0.171169	-0.168662	-0.169435	-0.16654
0.0144214	-0.00309519	0.117695	0.871371	-0.169318	-0.165671	-0.170283	-0.166871
0.00634407	0.0300406	0.116909	0.874803	-0.16918	-0.165653	-0.172113	-0.167174
0.0256837	0.0153656	0.118263	0.894692	-0.172241	-0.169842	-0.16767	-0.166291
0.0207873	0.0269977	0.121684	0.898538	-0.167457	-0.1675	-0.169424	-0.165925
0.0200018	0.0277049	0.119262	0.889907	-0.167481	-0.167377	-0.169266	-0.166392
0.0323702	0.0224141	0.123468	0.895964	-0.167072	-0.165276	-0.170342	-0.166467
0.0257253	0.0225935	0.124674	0.902497	-0.169517	-0.165694	-0.168424	-0.165744
0.01032	0.0215016	0.121119	0.894903	-0.170869	-0.165945	-0.16937	-0.167626
0.0203355	0.029566	0.123945	0.897871	-0.168745	-0.166083	-0.172811	-0.168855
0.0142319	0.0201162	0.120328	0.896636	-0.169616	-0.167276	-0.168947	-0.166826
0.023227	0.0162596	0.114847	0.888048	-0.167602	-0.165537	-0.169396	-0.166747
0.0204935	0.0110655	0.12374	0.886686	-0.168848	-0.166267	-0.169593	-0.166518
0.0320951	0.0111627	0.120603	0.885982	-0.16868	-0.16517	-0.168796	-0.16594
0.0177772	0.018946	0.130497	0.906291	-0.170558	-0.169888	-0.170157	-0.169972
0.0165622	0.0139543	0.115063	0.898703	-0.169493	-0.166213	-0.173255	-0.167097
0.0258571	0.0151854	0.120509	0.898163	-0.169298	-0.168456	-0.171644	-0.166725
0.0237614	0.0236585	0.124752	0.892833	-0.171043	-0.170386	-0.168022	-0.164908
0.011718	0.0182018	0.114544	0.908804	-0.168321	-0.165444	-0.170751	-0.165455
0.0228809	0.0201768	0.123039	0.915591	-0.16735	-0.166753	-0.170746	-0.164804
0.0312859	0.0186553	0.132915	0.898129	-0.169849	-0.167103	-0.170764	-0.16716
0.017639	0.0266089	0.123415	0.907475	-0.170534	-0.167607	-0.170117	-0.16742
0.0121691	0.0129624	0.131683	0.914261	-0.168955	-0.165535	-0.169088	-0.168284
0.018309	0.027827	0.120013	0.903919	-0.172665	-0.166785	-0.1706	-0.167394
