sub2e	tbasej22	rp610	rp1220	rp1112	jlap1_11	cur1_11
					0.201509	0.0157573
					0.195466	0.0133841
					0.19386	0.0131074
					0.190312	0.0157584
					0.184546	0.0136603
					0.192825	0.0149581
					0.192381	0.0147723
					0.197714	0.01384
					0.192745	0.0144487
					0.190125	0.0119216
					0.195832	0.013502
					0.200654	0.0132383
					0.197186	0.0134926
					0.194735	0.0112455
					0.191185	0.0126738
					0.192359	0.0135519
					0.188893	0.0118841
					0.195773	0.0133948
					0.19483	0.0136455
					0.191635	0.0148427
					0.183761	0.0147698
					0.18992	0.0141028
					0.191588	0.0141747
					0.194615	0.0137339
					0.195519	0.0157789
					0.197644	0.0126234
					0.196246	0.0130963
					0.196786	0.0127149
					0.18822	0.0131708
					0.192114	0.0152896
					0.190718	0.0152063
					0.201415	0.0143589
					0.194458	0.0138299
					0.202454	0.0139055
					0.185289	0.0140541
					0.199747	0.0125951
					0.198823	0.0129491
					0.190732	0.0160602
					0.19484	0.0139499
					0.184234	0.014263
					0.186577	0.0142319
					0.199079	0.0130454
					0.189672	0.0140134
					0.192646	0.0117511
					0.195051	0.0117446
					0.187816	0.0150617
					0.196353	0.0131104
					0.20296	0.0140629
					0.191723	0.0155944
					0.203004	0.0141642
					0.190276	0.0168028
					0.182622	0.0134843
					0.181437	0.0161702
					0.190466	0.0139635
					0.206583	0.0118819
					0.1895	0.0111157
					0.189878	0.015839
					0.188015	0.0152099
					0.189999	0.0134105
					0.199533	0.0143214
					0.19089	0.0132072
					0.191251	0.0139991
					0.197225	0.0152774
					0.196144	0.0147898
					0.188543	0.0165536
					0.193054	0.0143018
					0.194943	0.0189762
					0.188968	0.0169363
					0.197815	0.015089
					0.200279	0.0146121
					0.193931	0.014628
					0.192576	0.0159882
					0.183126	0.0167743
					0.190644	0.0158133
					0.196767	0.0133685
					0.197618	0.0147769
					0.195538	0.0139414
					0.190734	0.0180204
					0.18935	0.0146486
					0.195719	0.0142556
					0.200863	0.0139473
					0.193714	0.0131028
					0.196943	0.0169318
					0.197637	0.0149886
					0.187309	0.0161941
					0.196451	0.0137337
					0.181373	0.012607
					0.188977	0.0140201
					0.195615	0.0145668
