lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	cur2_11_samp	sub	ind_delta_vm	ind_t
0.208046	0.000763511	0.151231	0.00525496	0.218646	0.00466656	0.300562	0.00142828	0.336901	0.00134412			
0.209006	0.000427157	0.152089	0.00519426	0.219579	0.00484292	0.301844	0.00148386	0.338101	0.0013081			
0.209967	0.000911818	0.152947	0.00523616	0.220512	0.0049818	0.303126	0.00132203	0.339301	0.00129055			
0.210928	0.000754403	0.153805	0.00554102	0.221444	0.00494385	0.304408	0.00147427	0.340502	0.0013026			
0.211888	0.000749814	0.154663	0.00530887	0.222377	0.0049383	0.305691	0.00137198	0.341702	0.00136163			
0.212849	0.000746472	0.155527	0.0054568	0.22331	0.00492888	0.306973	0.00157963	0.342902	0.00120713			
0.21381	0.000737493	0.156558	0.00528572	0.224242	0.00496816	0.308255	0.00147308	0.344102	0.00143144			
0.21477	0.00074137	0.157617	0.00525626	0.225175	0.00497987	0.309538	0.00166598	0.345302	0.00157769			
0.215725	0.000743878	0.158676	0.00537591	0.226108	0.00496902	0.31082	0.00161169	0.346503	0.0013245			
0.216399	0.000740394	0.159735	0.00527772	0.22704	0.00501715	0.312102	0.00133194	0.347703	0.00137449			
0.217013	0.000639317	0.160795	0.00522079	0.227973	0.00506537	0.313385	0.00151826	0.348903	0.0015145			
0.217628	0.000563543	0.161854	0.00519863	0.228906	0.00489683	0.314667	0.00145879	0.350103	0.00146245			
0.218242	0.000773625	0.162913	0.00530763	0.229839	0.00481657	0.315949	0.00151584	0.351303	0.00137733			
0.218856	0.000889688	0.163972	0.00529534	0.230771	0.00503411	0.317231	0.00150727	0.352504	0.00142025			
0.21947	0.000713083	0.165031	0.00531302	0.231704	0.00494363	0.318514	0.00126158	0.353704	0.00154587			
0.220084	0.00105696	0.166091	0.0052929	0.232637	0.00496981	0.319796	0.00150833	0.354904	0.00131955			
0.220698	0.000680088	0.16715	0.00545639	0.233569	0.00496977	0.321078	0.00165416	0.356104	0.00146831			
0.221313	0.000542005	0.168209	0.00528331	0.234502	0.0048809	0.32236	0.00157748	0.357305	0.00140317			
0.221927	0.000745032	0.169268	0.00529798	0.235435	0.00494643	0.323643	0.0014446	0.358505	0.00141848			
0.222541	0.000743363	0.170328	0.00524915	0.236368	0.00494449	0.324925	0.0015651	0.359705	0.00141225			
0.223155	0.000809963	0.171387	0.00535552	0.2373	0.0049908	0.326207	0.00139845	0.360906	0.00141001			
0.223769	0.000672392	0.172446	0.00532637	0.238233	0.00488465	0.32749	0.00159382	0.362106	0.00124718			
0.224383	0.000742857	0.173505	0.00543166	0.239166	0.0048924	0.328772	0.00154775	0.363306	0.00146586			
0.224998	0.000947699	0.174565	0.00519065	0.240098	0.0049377	0.330054	0.00157623	0.364506	0.00160041			
0.225612	0.000846166	0.175624	0.0052566	0.241031	0.00489535	0.331206	0.0014624	0.365707	0.00147004			
0.226226	0.00085355	0.176683	0.00526564	0.241964	0.00480926	0.33227	0.00151189	0.366907	0.00136187			
0.22684	0.000948743	0.177743	0.00521026	0.242896	0.00478242	0.333334	0.00158407	0.367742	0.0013913			
0.227454	0.000692502	0.178802	0.00520729	0.243829	0.00496974	0.334398	0.0014004	0.368373	0.00165778			
0.228068	0.000821483	0.179861	0.0052888	0.244762	0.0051102	0.335463	0.0012959	0.369004	0.00150574			
0.228682	0.000585321	0.18092	0.00533358	0.245453	0.0049157	0.336527	0.00153167	0.369635	0.00148912			
0.229297	0.000787352	0.18198	0.00517534	0.245903	0.00474752	0.337591	0.00146355	0.370265	0.00143113			
0.229911	0.000651673	0.183039	0.00535062	0.246354	0.00487698	0.338655	0.00132622	0.370896	0.00163052			
0.230525	0.000618878	0.184098	0.00515036	0.246804	0.00497098	0.339719	0.00157863	0.371527	0.00146757			
0.231139	0.000711592	0.185157	0.0054669	0.247254	0.00497374	0.340784	0.00140427	0.372158	0.00160885			
0.231753	0.000580853	0.186229	0.00531636	0.247704	0.00499091	0.341848	0.00140042	0.372789	0.00155017			
0.232367	0.00102998	0.18734	0.00533065	0.248154	0.004984	0.342912	0.00131657	0.37342	0.00173657			
0.232982	0.000881599	0.188451	0.0053462	0.248604	0.0050433	0.343976	0.00136256	0.374051	0.00170928			
