cur3_37_samp	cur3_38_samp	cur3_39_samp	cur3_40_samp	lap3_37_samp	lap3_38_samp	lap3_39_samp	lap3_40_samp	rp11
-0.000142897	-0.000170782	-0.000125628	-1.35535e-05	0.656923	0.651446	0.680956	0.475019	
-8.82763e-05	-0.000151152	-6.03708e-05	-6.84892e-05	0.659545	0.654154	0.683519	0.476889	
-1.8352e-05	7.42625e-05	-9.77455e-05	-0.000191321	0.662168	0.656861	0.686083	0.47876	
-0.00036184	-2.47214e-05	-0.000165695	-0.000247529	0.66479	0.659569	0.688646	0.48063	
-2.27638e-05	-0.000135221	-0.000119162	-0.000159229	0.667413	0.662276	0.691209	0.482501	
-4.91683e-05	-0.000287879	-8.43903e-05	-0.000308527	0.67002	0.664984	0.693773	0.484371	
-0.000176266	-0.000397225	-4.00779e-06	-0.000102937	0.67262	0.667691	0.696337	0.486242	
-9.9282e-05	-0.000178249	-0.000224528	-8.46929e-05	0.67522	0.670407	0.6989	0.488112	
-0.000322455	-6.92886e-05	-5.95206e-05	-5.44957e-05	0.67782	0.673204	0.701464	0.489983	
-0.000237944	-0.000150346	-0.000335814	-0.00016175	0.680419	0.676007	0.704028	0.491853	
-0.000429876	-1.58019e-05	4.1029e-05	-0.000253062	0.683019	0.678809	0.706601	0.493724	
-0.000193181	-0.000345805	-6.02206e-06	-0.00022793	0.685619	0.681612	0.709176	0.495594	
-0.000263235	-0.000472177	-9.05438e-05	-9.01349e-05	0.688219	0.684415	0.711751	0.497473	
-0.000181154	-0.000148506	5.27395e-05	-2.02514e-05	0.690819	0.687217	0.714325	0.499472	
-4.00456e-05	-0.000131921	-1.374e-05	-0.000106894	0.693419	0.69002	0.7169	0.501485	
-8.29877e-05	-5.77078e-05	-0.000201967	-0.000209396	0.696019	0.692822	0.719475	0.503497	
