lap2_47_samp	lap2_48_samp	lap2_49_samp	lap2_50_samp	lap2_51_samp	Smth2_47_samp	Smth2_48_samp	Smth2_49_samp	Smth2_50_samp	Smth2_51_samp	rp1111
0.672128	0.444655	0.702539	0.549878	0.701709	-0.0629594	-0.0573596	-0.0525691	-0.0600887	-0.0626279	
0.674745	0.445959	0.705219	0.551633	0.704535	-0.0630124	-0.0573869	-0.0526041	-0.0601808	-0.062605	
0.677356	0.447262	0.707899	0.553387	0.707361	-0.0630582	-0.0574162	-0.0526437	-0.0602828	-0.0625884	
0.679822	0.448566	0.710579	0.555142	0.710188	-0.0630963	-0.0574455	-0.0526864	-0.0603952	-0.062579	
0.682267	0.44987	0.713259	0.556896	0.712945	-0.0631262	-0.0574738	-0.0527297	-0.0605176	-0.062576	
0.684712	0.451173	0.715939	0.558651	0.715558	-0.0631474	-0.0574998	-0.0527718	-0.0606492	-0.0625775	
0.687158	0.452477	0.718619	0.560406	0.718171	-0.06316	-0.0575227	-0.0528121	-0.0607887	-0.0625822	
0.689603	0.453781	0.721299	0.56216	0.720783	-0.0631653	-0.0575422	-0.0528518	-0.0609352	-0.0625893	
0.692048	0.455084	0.723979	0.563914	0.723396	-0.0631638	-0.0575584	-0.0528924	-0.0610875	-0.0625987	
0.694493	0.456388	0.726659	0.565669	0.726009	-0.0631572	-0.0575707	-0.0529357	-0.0612436	-0.0626095	
0.696939	0.457692	0.729339	0.567423	0.728621	-0.0631462	-0.0575795	-0.0529829	-0.0614023	-0.0626201	
