lap2_17_samp	lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	lap2_23_samp	cur2_17_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	cur2_23_samp	rp24332
0.148417	0.292454	0.327579	0.307701	0.417139	0.341154	0.18099	-0.000764238	-0.000615429	-0.000639362	-0.000919606	-0.000715068	-0.000863057	-0.000501054	
0.149265	0.294544	0.329817	0.31023	0.420492	0.343704	0.182886	-0.000709537	-0.000415374	-0.000527535	-0.000840454	-0.000688433	-0.000633335	-0.00108023	
0.150113	0.296579	0.331999	0.312759	0.423845	0.346255	0.184783	-0.000836138	-0.000551192	-0.000361311	-0.000620918	-0.000656463	-0.000715641	-0.000492103	
0.150961	0.298599	0.334156	0.315288	0.427198	0.348805	0.18668	-0.000420009	-0.000695309	-0.000783289	-0.000502686	-0.000203114	-0.00046344	-0.00057388	
0.151809	0.300618	0.336312	0.317816	0.430567	0.351355	0.188576	-0.000477242	-0.00074065	-0.00086095	-0.000516289	-0.000771297	-0.000854754	-0.000770824	
0.152657	0.302638	0.338468	0.320345	0.43396	0.353906	0.190473	-0.0009686	-0.000732209	-0.000510852	-0.000396774	-0.000683968	-0.000981473	-0.000806992	
0.153504	0.304657	0.340625	0.322874	0.437353	0.356456	0.19237	-0.000844747	-0.000652258	-0.000685288	-0.000147914	-0.000814003	-0.000666292	-0.000470735	
0.154352	0.306677	0.342781	0.325405	0.440745	0.359007	0.194266	-0.000768276	-0.000519547	-0.000765299	-0.000752933	-0.000534142	-0.000904085	-0.000832341	
0.1552	0.308696	0.344938	0.327998	0.444138	0.361557	0.196163	-0.000915781	-0.000584817	-0.000727682	-0.000566659	-0.000397007	-0.000419949	-0.00080977	
0.156048	0.310715	0.347094	0.330595	0.447531	0.364108	0.19806	-0.000256923	-0.000531928	-0.000462143	-0.000476075	-0.000630684	-0.000704013	-0.00082799	
